gutenberg_id,text,book,author
5670,"chilly--it was the third of September already), ""if Jacob doesn't want",Jacob's Room,Virginia Woolf
5670,"to play""--what a horrid blot! It must be getting late.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Where IS that tiresome little boy?"" she said. ""I don't see him. Run and",Jacob's Room,Virginia Woolf
5670,"find him. Tell him to come at once."" ""... but mercifully,"" she",Jacob's Room,Virginia Woolf
5670,"scribbled, ignoring the full stop, ""everything seems satisfactorily",Jacob's Room,Virginia Woolf
5670,"arranged, packed though we are like herrings in a barrel, and forced to",Jacob's Room,Virginia Woolf
5670,stand the perambulator which the landlady quite naturally won't,Jacob's Room,Virginia Woolf
5670,"allow....""",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"Such were Betty Flanders's letters to Captain Barfoot--many-paged,",Jacob's Room,Virginia Woolf
5670,tear-stained. Scarborough is seven hundred miles from Cornwall: Captain,Jacob's Room,Virginia Woolf
5670,Barfoot is in Scarborough: Seabrook is dead. Tears made all the dahlias,Jacob's Room,Virginia Woolf
5670,in her garden undulate in red waves and flashed the glass house in her,Jacob's Room,Virginia Woolf
5670,"eyes, and spangled the kitchen with bright knives, and made Mrs. Jarvis,",Jacob's Room,Virginia Woolf
5670,"the rector's wife, think at church, while the hymn-tune played and Mrs.",Jacob's Room,Virginia Woolf
5670,"Flanders bent low over her little boys' heads, that marriage is a",Jacob's Room,Virginia Woolf
5670,"fortress and widows stray solitary in the open fields, picking up",Jacob's Room,Virginia Woolf
5670,"stones, gleaning a few golden straws, lonely, unprotected, poor",Jacob's Room,Virginia Woolf
5670,creatures. Mrs. Flanders had been a widow for these two years.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Ja--cob! Ja--cob!"" Archer shouted.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Scarborough,"" Mrs. Flanders wrote on the envelope, and dashed a bold",Jacob's Room,Virginia Woolf
5670,line beneath; it was her native town; the hub of the universe. But a,Jacob's Room,Virginia Woolf
5670,stamp? She ferreted in her bag; then held it up mouth downwards; then,Jacob's Room,Virginia Woolf
5670,"fumbled in her lap, all so vigorously that Charles Steele in the Panama",Jacob's Room,Virginia Woolf
5670,hat suspended his paint-brush.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,Like the antennae of some irritable insect it positively trembled. Here,Jacob's Room,Virginia Woolf
5670,was that woman moving--actually going to get up--confound her! He struck,Jacob's Room,Virginia Woolf
5670,the canvas a hasty violet-black dab. For the landscape needed it. It was,Jacob's Room,Virginia Woolf
5670,"too pale--greys flowing into lavenders, and one star or a white gull",Jacob's Room,Virginia Woolf
5670,suspended just so--too pale as usual. The critics would say it was too,Jacob's Room,Virginia Woolf
5670,"pale, for he was an unknown man exhibiting obscurely, a favourite with",Jacob's Room,Virginia Woolf
5670,"his landladies' children, wearing a cross on his watch chain, and much",Jacob's Room,Virginia Woolf
5670,gratified if his landladies liked his pictures--which they often did.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Ja--cob! Ja--cob!"" Archer shouted.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"Exasperated by the noise, yet loving children, Steele picked nervously",Jacob's Room,Virginia Woolf
5670,at the dark little coils on his palette.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""I saw your brother--I saw your brother,"" he said, nodding his head, as",Jacob's Room,Virginia Woolf
5670,"Archer lagged past him, trailing his spade, and scowling at the old",Jacob's Room,Virginia Woolf
5670,gentleman in spectacles.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Over there--by the rock,"" Steele muttered, with his brush between his",Jacob's Room,Virginia Woolf
5670,"teeth, squeezing out raw sienna, and keeping his eyes fixed on Betty",Jacob's Room,Virginia Woolf
5670,Flanders's back.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Ja--cob! Ja--cob!"" shouted Archer, lagging on after a second.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"The voice had an extraordinary sadness. Pure from all body, pure from",Jacob's Room,Virginia Woolf
5670,"all passion, going out into the world, solitary, unanswered, breaking",Jacob's Room,Virginia Woolf
5670,against rocks--so it sounded.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,Steele frowned; but was pleased by the effect of the black--it was just,Jacob's Room,Virginia Woolf
5670,"THAT note which brought the rest together. ""Ah, one may learn to paint",Jacob's Room,Virginia Woolf
5670,"at fifty! There's Titian..."" and so, having found the right tint, up he",Jacob's Room,Virginia Woolf
5670,looked and saw to his horror a cloud over the bay.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"Mrs. Flanders rose, slapped her coat this side and that to get the sand",Jacob's Room,Virginia Woolf
5670,"off, and picked up her black parasol.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"The rock was one of those tremendously solid brown, or rather black,",Jacob's Room,Virginia Woolf
5670,rocks which emerge from the sand like something primitive. Rough with,Jacob's Room,Virginia Woolf
5670,"crinkled limpet shells and sparsely strewn with locks of dry seaweed, a",Jacob's Room,Virginia Woolf
5670,"small boy has to stretch his legs far apart, and indeed to feel rather",Jacob's Room,Virginia Woolf
5670,"heroic, before he gets to the top.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"But there, on the very top, is a hollow full of water, with a sandy",Jacob's Room,Virginia Woolf
5670,"bottom; with a blob of jelly stuck to the side, and some mussels. A fish",Jacob's Room,Virginia Woolf
5670,"darts across. The fringe of yellow-brown seaweed flutters, and out",Jacob's Room,Virginia Woolf
5670,pushes an opal-shelled crab--,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Oh, a huge crab,"" Jacob murmured--and begins his journey on weakly legs",Jacob's Room,Virginia Woolf
5670,on the sandy bottom. Now! Jacob plunged his hand. The crab was cool and,Jacob's Room,Virginia Woolf
5670,"very light. But the water was thick with sand, and so, scrambling down,",Jacob's Room,Virginia Woolf
5670,"Jacob was about to jump, holding his bucket in front of him, when he",Jacob's Room,Virginia Woolf
5670,"saw, stretched entirely rigid, side by side, their faces very red, an",Jacob's Room,Virginia Woolf
5670,enormous man and woman.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,An enormous man and woman (it was early-closing day) were stretched,Jacob's Room,Virginia Woolf
5670,"motionless, with their heads on pocket-handkerchiefs, side by side,",Jacob's Room,Virginia Woolf
5670,"within a few feet of the sea, while two or three gulls gracefully",Jacob's Room,Virginia Woolf
5670,"skirted the incoming waves, and settled near their boots.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,The large red faces lying on the bandanna handkerchiefs stared up at,Jacob's Room,Virginia Woolf
5670,"Jacob. Jacob stared down at them. Holding his bucket very carefully,",Jacob's Room,Virginia Woolf
5670,Jacob then jumped deliberately and trotted away very nonchalantly at,Jacob's Room,Virginia Woolf
5670,"first, but faster and faster as the waves came creaming up to him and he",Jacob's Room,Virginia Woolf
5670,"had to swerve to avoid them, and the gulls rose in front of him and",Jacob's Room,Virginia Woolf
5670,floated out and settled again a little farther on. A large black woman,Jacob's Room,Virginia Woolf
5670,was sitting on the sand. He ran towards her.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Nanny! Nanny!"" he cried, sobbing the words out on the crest of each",Jacob's Room,Virginia Woolf
5670,gasping breath.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,The waves came round her. She was a rock. She was covered with the,Jacob's Room,Virginia Woolf
5670,seaweed which pops when it is pressed. He was lost.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"There he stood. His face composed itself. He was about to roar when,",Jacob's Room,Virginia Woolf
5670,"lying among the black sticks and straw under the cliff, he saw a whole",Jacob's Room,Virginia Woolf
5670,"skull--perhaps a cow's skull, a skull, perhaps, with the teeth in it.",Jacob's Room,Virginia Woolf
5670,"Sobbing, but absent-mindedly, he ran farther and farther away until he",Jacob's Room,Virginia Woolf
5670,held the skull in his arms.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""There he is!"" cried Mrs. Flanders, coming round the rock and covering",Jacob's Room,Virginia Woolf
5670,"the whole space of the beach in a few seconds. ""What has he got hold of?",Jacob's Room,Virginia Woolf
5670,"Put it down, Jacob! Drop it this moment! Something horrid, I know. Why",Jacob's Room,Virginia Woolf
5670,didn't you stay with us? Naughty little boy! Now put it down. Now come,Jacob's Room,Virginia Woolf
5670,"along both of you,"" and she swept round, holding Archer by one hand and",Jacob's Room,Virginia Woolf
5670,fumbling for Jacob's arm with the other. But he ducked down and picked,Jacob's Room,Virginia Woolf
5670,"up the sheep's jaw, which was loose.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"Swinging her bag, clutching her parasol, holding Archer's hand, and",Jacob's Room,Virginia Woolf
5670,telling the story of the gunpowder explosion in which poor Mr. Curnow,Jacob's Room,Virginia Woolf
5670,"had lost his eye, Mrs. Flanders hurried up the steep lane, aware all the",Jacob's Room,Virginia Woolf
5670,time in the depths of her mind of some buried discomfort.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,There on the sand not far from the lovers lay the old sheep's skull,Jacob's Room,Virginia Woolf
5670,"without its jaw. Clean, white, wind-swept, sand-rubbed, a more",Jacob's Room,Virginia Woolf
5670,unpolluted piece of bone existed nowhere on the coast of Cornwall. The,Jacob's Room,Virginia Woolf
5670,"sea holly would grow through the eye-sockets; it would turn to powder,",Jacob's Room,Virginia Woolf
5670,"or some golfer, hitting his ball one fine day, would disperse a little",Jacob's Room,Virginia Woolf
5670,"dust--No, but not in lodgings, thought Mrs. Flanders. It's a great",Jacob's Room,Virginia Woolf
5670,experiment coming so far with young children. There's no man to help,Jacob's Room,Virginia Woolf
5670,with the perambulator. And Jacob is such a handful; so obstinate,Jacob's Room,Virginia Woolf
5670,already.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Throw it away, dear, do,"" she said, as they got into the road; but",Jacob's Room,Virginia Woolf
5670,"Jacob squirmed away from her; and the wind rising, she took out her",Jacob's Room,Virginia Woolf
5670,"bonnet-pin, looked at the sea, and stuck it in afresh. The wind was",Jacob's Room,Virginia Woolf
5670,"rising. The waves showed that uneasiness, like something alive, restive,",Jacob's Room,Virginia Woolf
5670,"expecting the whip, of waves before a storm. The fishing-boats were",Jacob's Room,Virginia Woolf
5670,leaning to the water's brim. A pale yellow light shot across the purple,Jacob's Room,Virginia Woolf
5670,"sea; and shut. The lighthouse was lit. ""Come along,"" said Betty",Jacob's Room,Virginia Woolf
5670,Flanders. The sun blazed in their faces and gilded the great,Jacob's Room,Virginia Woolf
5670,blackberries trembling out from the hedge which Archer tried to strip as,Jacob's Room,Virginia Woolf
5670,they passed.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Don't lag, boys. You've got nothing to change into,"" said Betty,",Jacob's Room,Virginia Woolf
5670,"pulling them along, and looking with uneasy emotion at the earth",Jacob's Room,Virginia Woolf
5670,"displayed so luridly, with sudden sparks of light from greenhouses in",Jacob's Room,Virginia Woolf
5670,"gardens, with a sort of yellow and black mutability, against this",Jacob's Room,Virginia Woolf
5670,"blazing sunset, this astonishing agitation and vitality of colour, which",Jacob's Room,Virginia Woolf
5670,stirred Betty Flanders and made her think of responsibility and danger.,Jacob's Room,Virginia Woolf
5670,She gripped Archer's hand. On she plodded up the hill.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""What did I ask you to remember?"" she said.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""I don't know,"" said Archer.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""Well, I don't know either,"" said Betty, humorously and simply, and who",Jacob's Room,Virginia Woolf
5670,"shall deny that this blankness of mind, when combined with profusion,",Jacob's Room,Virginia Woolf
5670,"mother wit, old wives' tales, haphazard ways, moments of astonishing",Jacob's Room,Virginia Woolf
5670,"daring, humour, and sentimentality--who shall deny that in these",Jacob's Room,Virginia Woolf
5670,respects every woman is nicer than any man?,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"Well, Betty Flanders, to begin with.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,She had her hand upon the garden gate.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,"""The meat!"" she exclaimed, striking the latch down.",Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,She had forgotten the meat.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,There was Rebecca at the window.,Jacob's Room,Virginia Woolf
5670,,Jacob's Room,Virginia Woolf
5670,The bareness of Mrs. Pearce's front room was fully displayed at ten,Jacob's Room,Virginia Woolf
5670,o'clock at night when a powerful oil lamp stood on the middle of the,Jacob's Room,Virginia Woolf
5670,table. The harsh light fell on the garden; cut straight across the lawn;,Jacob's Room,Virginia Woolf
5670,lit up a child's bucket and a purple aster and reached the hedge. Mrs.,Jacob's Room,Virginia Woolf
5670,Flanders had left her sewing on the table. There were her large reels of,Jacob's Room,Virginia Woolf
5670,white cotton and her steel spectacles; her needle-case; her brown wool,Jacob's Room,Virginia Woolf
5670,wound round an old postcard. There were the bulrushes and the Strand,Jacob's Room,Virginia Woolf
5670,magazines; and the linoleum sandy from the boys' boots. A,Jacob's Room,Virginia Woolf
